"Date","RFID","PIntake_kg","FoodType"
"2025-05-26","",0,"0"
"2025-05-26","982123771651298",1.02,"1"
"2025-05-26","982123771651315",0.85,"1"
"2025-05-26","982123771651330",0.034,"1"
"2025-05-26","982123786049450",0.034,"1"
"2025-05-26","982123786049478",0.034,"1"
"2025-05-26","982123786049482",0.034,"1"
"2025-05-26","982123801737289",0.782,"1"
"2025-05-26","982123801737607",0.85,"1"
"2025-05-26","982123801737615",0.51,"1"
"2025-05-26","982123801737616",0.408,"1"
"2025-05-26","982123801737620",1.02,"1"
"2025-05-26","982123801737628",1.02,"1"
"2025-05-26","982123801737631",0.68,"1"
"2025-05-26","982123801737632",0.85,"1"
"2025-05-26","982123801737633",1.02,"1"
"2025-05-26","982123801737635",1.02,"1"
"2025-05-26","982123801737639",0.85,"1"
"2025-05-26","982123801737640",0.85,"1"
"2025-05-26","982123801737641",1.02,"1"
"2025-05-26","982123801737643",1.02,"1"
"2025-05-26","982123801737645",0.85,"1"
"2025-05-26","982123801737648",0.85,"1"
"2025-05-26","982123801737649",0.85,"1"
"2025-05-26","982123801737652",1.02,"1"
"2025-05-26","982123801737653",0.782,"1"
"2025-05-26","982123801737656",0.85,"1"
"2025-05-26","982123801737657",0.85,"1"
"2025-05-26","982123801737658",1.02,"1"
"2025-05-26","982123801737663",1.02,"1"
"2025-05-26","982123801737665",0.85,"1"
"2025-05-26","982123801737667",0.85,"1"
"2025-05-26","982123801737670",0.68,"1"
"2025-05-26","982123801737672",0.68,"1"
"2025-05-26","982123801737675",1.02,"1"
"2025-05-26","982123801737677",0.85,"1"
"2025-05-26","982123801737678",0.884,"1"
"2025-05-26","982123801737681",0.85,"1"
"2025-05-26","982123801737682",0.85,"1"
"2025-05-26","982123801737685",0.85,"1"
"2025-05-26","982123801737686",0.85,"1"
"2025-05-26","982123801737687",0.85,"1"
"2025-05-26","982123801737689",0.85,"1"
"2025-05-26","982123801737690",1.02,"1"
"2025-05-27","",0,"0"
"2025-05-27","982123771651298",0.952,"1"
"2025-05-27","982123771651315",1.666,"1"
"2025-05-27","982123771651330",0,"0"
"2025-05-27","982123786049450",0,"0"
"2025-05-27","982123786049478",0,"0"
"2025-05-27","982123786049482",0,"0"
"2025-05-27","982123801737289",1.53,"1"
"2025-05-27","982123801737607",1.7,"1"
"2025-05-27","982123801737615",1.19,"1"
"2025-05-27","982123801737616",0.816,"1"
"2025-05-27","982123801737620",1.36,"1"
"2025-05-27","982123801737628",1.87,"1"
"2025-05-27","982123801737631",1.666,"1"
"2025-05-27","982123801737632",1.224,"1"
"2025-05-27","982123801737633",1.7,"1"
"2025-05-27","982123801737635",1.87,"1"
"2025-05-27","982123801737639",1.7,"1"
"2025-05-27","982123801737640",1.7,"1"
"2025-05-27","982123801737641",1.7,"1"
"2025-05-27","982123801737643",1.36,"1"
"2025-05-27","982123801737645",1.53,"1"
"2025-05-27","982123801737648",1.53,"1"
"2025-05-27","982123801737649",1.87,"1"
"2025-05-27","982123801737652",1.87,"1"
"2025-05-27","982123801737653",1.7,"1"
"2025-05-27","982123801737656",1.7,"1"
"2025-05-27","982123801737657",1.632,"1"
"2025-05-27","982123801737658",1.87,"1"
"2025-05-27","982123801737663",1.7,"1"
"2025-05-27","982123801737665",1.7,"1"
"2025-05-27","982123801737667",2.04,"1"
"2025-05-27","982123801737670",1.462,"1"
"2025-05-27","982123801737672",1.7,"1"
"2025-05-27","982123801737675",1.462,"1"
"2025-05-27","982123801737677",1.7,"1"
"2025-05-27","982123801737678",1.87,"1"
"2025-05-27","982123801737681",1.87,"1"
"2025-05-27","982123801737682",1.87,"1"
"2025-05-27","982123801737685",1.53,"1"
"2025-05-27","982123801737686",2.04,"1"
"2025-05-27","982123801737687",1.7,"1"
"2025-05-27","982123801737689",0.918,"1"
"2025-05-27","982123801737690",1.7,"1"
"2025-05-28","",0,"0"
"2025-05-28","982123771651298",2.108,"1"
"2025-05-28","982123771651315",1.53,"1"
"2025-05-28","982123771651330",0,"0"
"2025-05-28","982123786049450",0,"0"
"2025-05-28","982123786049478",0,"0"
"2025-05-28","982123786049482",0,"0"
"2025-05-28","982123801737289",1.7,"1"
"2025-05-28","982123801737607",1.87,"1"
"2025-05-28","982123801737615",1.768,"1"
"2025-05-28","982123801737616",2.04,"1"
"2025-05-28","982123801737620",1.53,"1"
"2025-05-28","982123801737628",1.462,"1"
"2025-05-28","982123801737631",1.7,"1"
"2025-05-28","982123801737632",1.768,"1"
"2025-05-28","982123801737633",1.632,"1"
"2025-05-28","982123801737635",1.53,"1"
"2025-05-28","982123801737639",1.87,"1"
"2025-05-28","982123801737640",1.632,"1"
"2025-05-28","982123801737641",2.04,"1"
"2025-05-28","982123801737643",1.972,"1"
"2025-05-28","982123801737645",1.632,"1"
"2025-05-28","982123801737648",1.87,"1"
"2025-05-28","982123801737649",2.04,"1"
"2025-05-28","982123801737652",1.36,"1"
"2025-05-28","982123801737653",1.598,"1"
"2025-05-28","982123801737656",1.87,"1"
"2025-05-28","982123801737657",1.632,"1"
"2025-05-28","982123801737658",1.87,"1"
"2025-05-28","982123801737663",1.7,"1"
"2025-05-28","982123801737665",1.632,"1"
"2025-05-28","982123801737667",1.36,"1"
"2025-05-28","982123801737670",1.7,"1"
"2025-05-28","982123801737672",1.734,"1"
"2025-05-28","982123801737675",1.7,"1"
"2025-05-28","982123801737677",1.87,"1"
"2025-05-28","982123801737678",1.258,"1"
"2025-05-28","982123801737681",1.7,"1"
"2025-05-28","982123801737682",2.006,"1"
"2025-05-28","982123801737685",1.87,"1"
"2025-05-28","982123801737686",1.394,"1"
"2025-05-28","982123801737687",1.53,"1"
"2025-05-28","982123801737689",1.36,"1"
"2025-05-28","982123801737690",1.7,"1"
"2025-05-29","",0,"0"
"2025-05-29","982123771651298",1.802,"1"
"2025-05-29","982123771651315",1.87,"1"
"2025-05-29","982123771651330",0,"0"
"2025-05-29","982123786049450",0,"0"
"2025-05-29","982123786049478",0,"0"
"2025-05-29","982123786049482",0,"0"
"2025-05-29","982123801737289",2.074,"1"
"2025-05-29","982123801737607",1.36,"1"
"2025-05-29","982123801737615",1.53,"1"
"2025-05-29","982123801737616",1.19,"1"
"2025-05-29","982123801737620",1.36,"1"
"2025-05-29","982123801737628",1.7,"1"
"2025-05-29","982123801737631",1.632,"1"
"2025-05-29","982123801737632",1.292,"1"
"2025-05-29","982123801737633",2.04,"1"
"2025-05-29","982123801737635",1.7,"1"
"2025-05-29","982123801737639",1.53,"1"
"2025-05-29","982123801737640",1.258,"1"
"2025-05-29","982123801737641",1.53,"1"
"2025-05-29","982123801737643",1.87,"1"
"2025-05-29","982123801737645",1.87,"1"
"2025-05-29","982123801737648",1.53,"1"
"2025-05-29","982123801737649",1.53,"1"
"2025-05-29","982123801737652",1.768,"1"
"2025-05-29","982123801737653",1.462,"1"
"2025-05-29","982123801737656",1.802,"1"
"2025-05-29","982123801737657",1.7,"1"
"2025-05-29","982123801737658",1.632,"1"
"2025-05-29","982123801737663",1.7,"1"
"2025-05-29","982123801737665",1.428,"1"
"2025-05-29","982123801737667",1.7,"1"
"2025-05-29","982123801737670",1.36,"1"
"2025-05-29","982123801737672",1.7,"1"
"2025-05-29","982123801737675",1.87,"1"
"2025-05-29","982123801737677",1.19,"1"
"2025-05-29","982123801737678",2.04,"1"
"2025-05-29","982123801737681",1.7,"1"
"2025-05-29","982123801737682",1.258,"1"
"2025-05-29","982123801737685",1.53,"1"
"2025-05-29","982123801737686",1.7,"1"
"2025-05-29","982123801737687",1.7,"1"
"2025-05-29","982123801737689",1.122,"1"
"2025-05-29","982123801737690",1.53,"1"
"2025-05-30","",0,"0"
"2025-05-30","982123771651298",0.34,"1"
"2025-05-30","982123771651315",0.68,"1"
"2025-05-30","982123771651330",0,"0"
"2025-05-30","982123786049450",0,"0"
"2025-05-30","982123786049478",0,"0"
"2025-05-30","982123786049482",0,"0"
"2025-05-30","982123801737289",0.51,"1"
"2025-05-30","982123801737607",1.02,"1"
"2025-05-30","982123801737615",0.918,"1"
"2025-05-30","982123801737616",0.68,"1"
"2025-05-30","982123801737620",0.68,"1"
"2025-05-30","982123801737628",1.02,"1"
"2025-05-30","982123801737631",0.85,"1"
"2025-05-30","982123801737632",0.68,"1"
"2025-05-30","982123801737633",0.51,"1"
"2025-05-30","982123801737635",0.68,"1"
"2025-05-30","982123801737639",0.918,"1"
"2025-05-30","982123801737640",0.85,"1"
"2025-05-30","982123801737641",0.68,"1"
"2025-05-30","982123801737643",0.51,"1"
"2025-05-30","982123801737645",0.68,"1"
"2025-05-30","982123801737648",0.85,"1"
"2025-05-30","982123801737649",0.68,"1"
"2025-05-30","982123801737652",0.646,"1"
"2025-05-30","982123801737653",0.85,"1"
"2025-05-30","982123801737656",0.68,"1"
"2025-05-30","982123801737657",0.646,"1"
"2025-05-30","982123801737658",0.51,"1"
"2025-05-30","982123801737663",0.68,"1"
"2025-05-30","982123801737665",0.85,"1"
"2025-05-30","982123801737667",1.02,"1"
"2025-05-30","982123801737670",1.02,"1"
"2025-05-30","982123801737672",0.51,"1"
"2025-05-30","982123801737675",0.68,"1"
"2025-05-30","982123801737677",0.85,"1"
"2025-05-30","982123801737678",0.68,"1"
"2025-05-30","982123801737681",0.85,"1"
"2025-05-30","982123801737682",0.68,"1"
"2025-05-30","982123801737685",0.51,"1"
"2025-05-30","982123801737686",0.85,"1"
"2025-05-30","982123801737687",0.85,"1"
"2025-05-30","982123801737689",0.68,"1"
"2025-05-30","982123801737690",0.85,"1"
